op_name, stream_id, start_time(ms), duration(ms)
Default/Floor-op71,1,1794816413.742000,0.058
Default/Sub-op72,1,1794816414.131000,0.059
Default/Add-op68,1,1794816414.534000,0.057
Default/ReduceMax-op73,1,1794816415.422000,0.083
Default/Add-op75,1,1794816418.376000,0.063
Default/RealDiv-op76,1,1794816418.793000,0.057
Default/Sub-op77,1,1794816419.340000,0.06
Default/ZerosLike-op78,1,1794816419.646000,0.065
Default/Abs-op79,1,1794816420.106000,0.079
Default/Less-op80,1,1794816420.505000,0.059
Default/Cast-op81,1,1794816420.918000,0.058
Default/Gather-op82,1,1794816421.298000,0.062
Default/Mul-op83,1,1794816421.712000,0.057
Default/Cos-op84,1,1794816422.014000,0.059
Default/Add-op85,1,1794816422.420000,0.077
Default/Mul-op83,1,1794816422.846000,0.058
Default/Less-op86,1,1794816423.603000,0.057
Default/Add-op87,1,1794816424.022000,0.056
Default/Select-op88,1,1794816424.361000,0.055
Default/TensorMove-op90,1,1794816424.982000,0.054
Default/ScatterNdUpdate-op91,1,1794816425.157000,0.158
Default/Equal-op92,1,1794816425.672000,0.054
Default/LogicalNot-op93,1,1794816425.996000,0.055
Default/Cast-op81,1,1794816426.378000,0.055
Default/Cast-op81,1,1794816426.768000,0.053
Default/Gather-op82,1,1794816427.135000,0.066
Default/Gather-op82,1,1794816427.512000,0.077
Default/Mul-op83,1,1794816427.933000,0.054
Default/Sin-op94,1,1794816428.231000,0.06
Default/Gather-op82,1,1794816428.602000,0.062
Default/Mul-op83,1,1794816429.009000,0.052
Default/RealDiv-op95,1,1794816429.360000,0.055
Default/Mul-op96,1,1794816429.713000,0.055
Default/Less-op86,1,1794816430.476000,0.065
Default/Add-op87,1,1794816430.906000,0.057
Default/Select-op88,1,1794816431.245000,0.061
Default/TensorMove-op90,1,1794816431.871000,0.061
Default/ScatterNdUpdate-op91,1,1794816432.042000,0.179
Default/Gather-op82,1,1794816432.571000,0.063
Default/Mul-op83,1,1794816432.983000,0.056
