full_op_name,execution_time
StridedSlice-op445,0.058667
Add-op446,0.05
StridedSlice-op447,0.0745
StridedSlice-op448,0.1125
Pad-op449,0.0775
Cast-op456,0.053
TransData-op452,0.259
Cast-op455,0.051
Conv2D-op451,0.045
TransData-op458,0.046
Pad-op459,0.1025
StridedSlice-op460,0.064
Add-op461,0.051
StridedSlice-op462,0.0765
StridedSlice-op463,0.1125
Pad-op464,0.081
Cast-op471,0.060667
TransData-op467,0.248667
Cast-op470,0.053556
Conv2D-op466,0.047333
TransData-op473,0.051429
Pad-op474,0.182
StridedSlice-op475,0.0875
Add-op476,0.051842
RealDiv-op478,0.07675
UniformReal-op479,0.258
Greater-op480,0.1
UniformReal-op481,0.1965
Greater-op482,0.072
StridedSlice-op483,0.232
UniformReal-op484,0.158
Greater-op485,0.065667
StridedSlice-op486,0.136
Cast-op491,0.172
Tile-op489,0.109
Cast-op490,0.942
Identity-op493,0.4995
Cast-op498,0.165
Tile-op496,0.068333
Cast-op497,0.586667
Stack-op499,0.2725
TensorMove-op500,0.031
ScatterNdUpdate-op501,37.678
TensorMove-op502,0.096
ScatterNdUpdate-op503,38.025
ReduceSum-op504,0.417
ReduceSum-op505,0.284
Cast-op513,0.038
TransData-op509,0.29
Cast-op512,0.092
Conv2D-op508,0.104
TransData-op515,0.345
ReLU-op516,0.128
ReduceMean-op519,0.168
Sub-op520,0.13
Square-op521,0.107
ReduceSum-op522,0.153
RealDiv-op523,0.097
Add-op524,0.153
Sqrt-op525,0.091
Sub-op526,0.089
RealDiv-op527,0.119
Mul-op530,0.116
Add-op533,0.22
Cast-op541,0.056
TransData-op537,0.69
Cast-op540,0.098
Conv2D-op536,0.102
TransData-op543,0.305
Concat-op544,0.069
Concat-op545,0.075
StridedSlice-op546,0.119
RealDiv-op547,0.115
StridedSlice-op549,0.123
RealDiv-op550,0.077
Concat-op552,0.23
TransposeNOD-op555,0.25
RealDiv-op556,0.134
TransposeNOD-op558,0.274
RealDiv-op559,0.13
StridedSlice-op561,0.3655
Add-op562,0.1975
LayerNorm-op563,0.59
Cast-op567,0.161
Cast-op568,0.104
Cast-op569,0.104
Cast-op571,0.027
TransData-op574,0.104
TransData-op573,0.121
MatMul-op572,0.11
Cast-op575,0.108
Add-op576,0.123
TransData-op580,0.118
Cast-op582,0.0315
TransData-op585,0.081
TransData-op584,0.066
MatMul-op583,0.073
Cast-op586,0.0555
Add-op587,0.073
TransData-op591,0.0865
TransposeNOD-op596,0.21
TransposeNOD-op599,0.166937
TransposeNOD-op602,0.104419
Cast-op604,0.026
RealDiv-op605,0.1205
RealDiv-op606,0.112813
TransData-op609,0.127
TransData-op608,0.167437
BatchMatMul-op607,0.241687
Cast-op610,0.43775
Cast-op613,0.102875
Sub-op614,0.09925
Mul-op615,0.102125
TransData-op617,0.219312
Add-op616,0.774625
TransData-op621,0.857062
Softmax-op622,8.867375
Cast-op624,0.41075
TransData-op627,0.256875
TransData-op626,0.472562
BatchMatMul-op625,0.188437
TransData-op633,0.107
TransposeNOD-op634,0.082812
Cast-op637,0.044
TransData-op640,0.066125
TransData-op639,0.087875
MatMul-op638,0.0965
Cast-op641,0.083
Add-op642,0.075
TransData-op646,0.071
Cast-op648,0.141875
Add-op649,0.163
LayerNorm-op650,0.478
TransposeNOD-op652,0.1695
MatMul-op654,226.509625
BiasAdd-op655,0.328375
ReLU-op657,0.289625
MatMul-op659,101.0105
BiasAdd-op660,0.127125
TransposeNOD-op664,0.131
Add-op665,0.141774
LayerNorm-op666,0.487375
Cast-op670,0.14
Cast-op671,0.117
Cast-op672,0.111789
Cast-op674,0.027
TransData-op677,0.068
TransData-op676,0.084
MatMul-op675,0.088
Cast-op678,0.101
Add-op679,0.115
TransData-op683,0.08925
Cast-op685,0.032407
TransData-op688,0.0688
TransData-op687,0.0775
MatMul-op686,0.10525
Cast-op689,0.086111
Add-op690,0.099074
TransposeNOD-op696,0.29
RealDiv-op697,0.1
ReduceMean-op699,0.276
Sub-op700,0.175
Square-op701,0.134
ReduceSum-op702,0.261
RealDiv-op703,0.063
Add-op704,0.064
Sqrt-op705,0.087
Sub-op706,0.143
RealDiv-op707,0.169
Mul-op710,0.167
Add-op712,0.145
Add-op713,0.184
TransposeNOD-op715,0.1895
RealDiv-op716,0.1615
StridedSlice-op720,0.029
Add-op721,0.1545
LayerNorm-op722,0.564
Cast-op726,0.106
Cast-op727,0.097
Cast-op728,0.109
Cast-op730,0.029
TransData-op733,0.062
TransData-op732,0.097
MatMul-op731,0.076
Cast-op734,0.066
Add-op735,0.081
TransData-op739,0.074667
Cast-op741,0.029
TransData-op744,0.059
TransData-op743,0.088
MatMul-op742,0.0715
Cast-op745,0.0585
Add-op746,0.084
TransposeNOD-op752,0.226
TransposeNOD-op755,0.18475
TransposeNOD-op758,0.131903
Cast-op760,0.025917
RealDiv-op761,0.194813
RealDiv-op762,0.115188
TransData-op765,0.087437
TransData-op764,0.077938
BatchMatMul-op763,0.127625
Cast-op766,0.24125
Cast-op769,0.08425
Sub-op770,0.087813
Mul-op771,0.086312
TransData-op773,0.13475
Add-op772,0.383125
TransData-op777,0.366625
Softmax-op778,5.167937
Cast-op780,0.237438
TransData-op783,0.0835
TransData-op782,0.166312
BatchMatMul-op781,0.18825
TransData-op785,0.086375
TransposeNOD-op786,0.0825
Cast-op789,0.031
TransData-op792,0.063167
TransData-op791,0.144292
MatMul-op790,0.082417
Cast-op793,0.07
Add-op794,0.093
TransData-op798,0.076
Cast-op800,0.23325
Add-op801,0.167
LayerNorm-op802,0.512
TransposeNOD-op804,0.133
MatMul-op806,226.613083
BiasAdd-op807,0.328583
ReLU-op809,0.290125
MatMul-op811,101.025583
BiasAdd-op812,0.1215
TransposeNOD-op816,0.104583
Add-op817,0.166581
LayerNorm-op818,0.488313
Cast-op822,0.109
Cast-op823,0.106
Cast-op824,0.126224
Cast-op826,0.032
TransData-op829,0.072
TransData-op828,0.084
MatMul-op827,0.076
Cast-op830,0.072
Add-op831,0.086
TransData-op835,0.099652
Cast-op837,0.052813
TransData-op840,0.090559
TransData-op839,0.108456
MatMul-op838,0.118044
Cast-op841,0.088571
Add-op842,0.114824
TransposeNOD-op848,0.2515
RealDiv-op849,0.104667
ReduceMean-op851,0.185
Sub-op852,0.145
Square-op853,0.087333
ReduceSum-op854,0.152
RealDiv-op855,0.077
Add-op856,0.074667
Sqrt-op857,0.064333
Sub-op858,0.1456
RealDiv-op859,0.108667
Mul-op862,0.108
Add-op864,0.094
Add-op865,0.125667
TransposeNOD-op867,0.204
RealDiv-op868,0.109
ReLU-op871,0.234
PReLU-op872,0.159
Assign-op873,0.908
Cast-op879,0.029
TransData-op875,1.125
Cast-op878,0.136
Conv2D-op874,0.166
BiasAdd-op880,0.222
TransData-op884,1.053
TransposeNOD-op886,0.374
RealDiv-op887,0.204
StridedSlice-op889,0.217
RealDiv-op890,0.14
StridedSlice-op892,0.189
StridedSlice-op893,0.206
RealDiv-op894,0.107
StridedSlice-op896,0.205
Add-op897,0.203
StridedSlice-op898,0.163
Cast-op905,0.041
TransData-op901,0.736
Cast-op904,0.131
Conv2D-op900,0.142
BiasAdd-op906,0.256
TransData-op910,0.384
Tanh-op911,0.224
Cast-op918,0.03
TransData-op914,0.678
Cast-op917,0.082
Conv2D-op913,0.087
BiasAdd-op919,0.112
TransData-op923,0.331
Sigmoid-op924,0.197
Mul-op925,0.154
Cast-op932,0.031
TransData-op928,0.669
Cast-op931,0.082
Conv2D-op927,0.08
TransData-op934,0.325
ReLU-op936,0.121
TransposeNOD-op938,0.148
Stack-op939,0.371
Mul-op940,0.151
StridedSlice-op941,0.399
Cast-op949,0.035
TransData-op944,0.655
Cast-op948,0.066
Conv2DBackpropInput-op943,5.021
Cast-op947,0.117
TransData-op951,0.135
StridedSlice-op955,0.489
Cast-op963,0.086
TransData-op958,0.654
Cast-op962,0.078
Conv2DBackpropInput-op957,4.997
Cast-op961,0.064
TransData-op965,0.09
Concat-op969,0.137
Pad-op970,0.112
StridedSlice-op971,0.127
StridedSlice-op972,0.089
Tile-op974,0.139
Tile-op976,0.163
StridedSlice-op977,0.146
Less-op978,0.0855
StridedSlice-op979,0.186
Less-op980,0.074
Mul-op981,0.168
Cast-op982,0.11
RealDiv-op983,0.109
Cast-op984,0.111
Cast-op986,0.119
ReduceSum-op987,0.352
RealDiv-op988,0.105
ReduceSum-op989,0.289
RealDiv-op990,0.07
Sub-op991,0.156
Sub-op992,0.057
Mul-op993,0.131
Mul-op994,0.126
Mul-op995,0.107
ReduceSum-op996,0.287
Pow-op997,0.133
ReduceSum-op998,0.263
Add-op999,0.103
Mul-op1000,0.098
RealDiv-op1001,0.1
Sub-op1006,0.237
Pow-op1007,0.097
ReduceSum-op1008,0.358
Pow-op1009,0.088
ReduceSum-op1010,0.295
Add-op1011,0.13
RealDiv-op1012,0.112
Add-op1013,0.062
