op_name, stream_id, start_time(ms), duration(ms)
Default/Mul-op19,1,1201496877.141000,0.061
Default/RealDiv-op31,1,1201496891.721000,0.065
Default/Mul-op32,1,1201496906.059000,0.06
Default/Less-op22,1,1201496927.682000,0.093
Default/Add-op23,1,1201496929.262000,0.082
Default/Select-op24,1,1201496930.110000,0.064
Default/TensorMove-op26,1,1201496931.183000,0.067
Default/ScatterNdUpdate-op27,1,1201496931.388000,0.183
Default/Gather-op18,1,1201496932.031000,0.106
Default/Mul-op19,1,1201496932.855000,0.083
Default/Less-op22,1,1201497107.203000,0.098
Default/Add-op23,1,1201497141.318000,0.066
Default/Select-op24,1,1201497156.127000,0.071
Default/TensorMove-op26,1,1201497189.087000,0.066
Default/ScatterNdUpdate-op27,1,1201497197.117000,0.179
Default/RealDiv-op12,1,1201497222.843000,0.09
Default/Add-op33,1,1201497335.064000,0.089
Default/RealDiv-op34,1,1201497369.919000,0.069
Default/Sub-op35,1,1201497390.797000,0.065
Default/Add-op36,1,1201497406.510000,0.068
Default/Mul-op37,1,1201497427.112000,0.088
Default/Ceil-op38,1,1201497440.982000,0.076
Default/Mul-op37,1,1201497458.352000,0.061
Default/Floor-op39,1,1201497469.918000,0.062
Default/Sub-op40,1,1201497484.857000,0.063
Default/Add-op36,1,1201497502.303000,0.062
Default/ReduceMax-op41,1,1201497540.866000,0.089
Default/Add-op43,1,1201497664.284000,0.07
Default/RealDiv-op44,1,1201497683.548000,0.066
Default/Sub-op45,1,1201497704.226000,0.064
Default/ZerosLike-op46,1,1201497716.766000,0.062
Default/Abs-op47,1,1201497735.626000,0.064
Default/Less-op48,1,1201497752.882000,0.062
Default/Cast-op49,1,1201497768.643000,0.064
Default/Gather-op50,1,1201497786.306000,0.066
Default/Mul-op51,1,1201497804.978000,0.065
Default/Cos-op52,1,1201497817.731000,0.063
Default/Add-op53,1,1201497837.481000,0.067
Default/Mul-op51,1,1201497851.939000,0.066
Default/Less-op54,1,1201497886.358000,0.064
Default/Add-op55,1,1201497904.302000,0.058
Default/Select-op56,1,1201497918.331000,0.061
Default/TensorMove-op58,1,1201497945.518000,0.064
Default/ScatterNdUpdate-op59,1,1201497954.402000,0.087
Default/Equal-op60,1,1201497968.525000,0.062
Default/LogicalNot-op61,1,1201497981.614000,0.061
Default/Cast-op49,1,1201497999.488000,0.063
Default/Cast-op49,1,1201498018.452000,0.066
Default/Gather-op50,1,1201498039.090000,0.069
Default/Gather-op50,1,1201498052.623000,0.062
Default/Mul-op51,1,1201498071.337000,0.058
Default/Sin-op62,1,1201498083.836000,0.06
Default/Gather-op50,1,1201498099.639000,0.063
Default/Mul-op51,1,1201498114.202000,0.061
Default/RealDiv-op63,1,1201498129.574000,0.065
Default/Mul-op64,1,1201498147.223000,0.083
Default/Less-op54,1,1201498171.743000,0.089
Default/Add-op55,1,1201498172.301000,0.082
Default/Select-op56,1,1201498172.723000,0.063
Default/TensorMove-op58,1,1201498173.481000,0.072
Default/ScatterNdUpdate-op59,1,1201498173.688000,0.07
Default/Gather-op50,1,1201498174.239000,0.077
Default/Mul-op51,1,1201498174.838000,0.108
Default/Less-op54,1,1201498175.754000,0.075
Default/Add-op55,1,1201498176.274000,0.074
Default/Select-op56,1,1201498176.689000,0.068
Default/TensorMove-op58,1,1201498177.453000,0.087
Default/ScatterNdUpdate-op59,1,1201498177.678000,0.075
Default/RealDiv-op44,1,1201498178.267000,0.066
Default/Add-op65,1,1201498181.074000,0.081
Default/RealDiv-op66,1,1201498181.791000,0.078
Default/Sub-op67,1,1201498182.332000,0.085
Default/Add-op68,1,1201498182.865000,0.078
Default/Mul-op69,1,1201498183.387000,0.069
Default/Ceil-op70,1,1201498183.776000,0.075
Default/Mul-op69,1,1201498184.282000,0.08
