full_op_name,execution_time
StridedSlice-op463,0.604
Pad-op464,0.472
Cast-op471,0.068
TransData-op467,0.129
Cast-op470,0.071
Conv2D-op466,0.066
TransData-op473,0.071
Pad-op474,0.386
StridedSlice-op475,0.759
Add-op476,0.118
RealDiv-op478,0.3045
UniformReal-op479,0.386
Greater-op480,0.065
UniformReal-op481,0.236
Greater-op482,0.086
StridedSlice-op483,0.59
UniformReal-op484,0.19
Greater-op485,0.064
RealDiv-op486,0.4735
UniformReal-op487,0.253
Greater-op488,0.079
StridedSlice-op489,0.232
Cast-op494,0.256
Tile-op492,0.18
Cast-op493,0.612
Identity-op496,0.522
Cast-op501,0.231
Tile-op499,0.102
Cast-op500,0.354
Stack-op502,0.25
TensorMove-op503,0.05
ScatterNdUpdate-op504,13.078
StridedSlice-op505,0.305
Cast-op510,0.233
Tile-op508,0.075
Cast-op509,0.309
Identity-op512,0.34
Cast-op517,0.184
Tile-op515,0.091
Cast-op516,0.6
Stack-op518,0.129
TensorMove-op519,0.076
ScatterNdUpdate-op520,13.154
ReduceSum-op521,1.257
ReduceSum-op522,0.164
Cast-op530,0.167
TransData-op526,0.181
Cast-op529,0.201
Conv2D-op525,0.167
TransData-op532,0.209
ReLU-op533,0.159
ReduceMean-op536,7.461
Sub-op537,3.619
Square-op538,5.695
ReduceSum-op539,5.111
RealDiv-op540,4.528
Add-op541,3.661
Sqrt-op542,4.168
Sub-op543,0.064
RealDiv-op544,4.059
Mul-op547,6.431
Add-op550,0.511
Cast-op558,0.417
TransData-op554,0.706
Cast-op557,0.461
Conv2D-op553,0.474
TransData-op560,0.155
Concat-op561,0.402
Concat-op562,0.386
StridedSlice-op563,0.543
RealDiv-op564,0.765
StridedSlice-op566,1.977
RealDiv-op567,0.063
Concat-op569,0.794
TransposeNOD-op572,0.903
RealDiv-op573,0.748
TransposeNOD-op575,0.472
RealDiv-op576,0.437
StridedSlice-op578,0.551
Add-op579,1.363
LayerNorm-op580,0.557
Cast-op584,0.173
Cast-op585,0.076
Cast-op586,0.069
Cast-op588,0.027
TransData-op591,0.211
TransData-op590,0.19
MatMul-op589,0.108
Cast-op592,0.149
Add-op593,0.13
TransData-op597,0.18
Cast-op599,0.032
TransData-op602,0.0665
TransData-op601,0.1515
MatMul-op600,0.088
Cast-op603,0.0725
Add-op604,0.065
TransData-op608,0.075
TransposeNOD-op615,0.846
TransposeNOD-op618,0.123375
TransposeNOD-op621,0.099968
Cast-op623,0.150875
RealDiv-op624,0.130812
